MMWR_Year,MMWR_Week,Date,prop_invasive_pneumococcal_disease
2016,16,2016-04-17,4.21415859432452e-07
2016,17,2016-04-24,3.25357832650055e-07
2016,18,2016-05-01,3.37752416751009e-07
2016,19,2016-05-08,3.37752416751009e-07
2016,20,2016-05-15,3.93528045205304e-07
2016,21,2016-05-22,3.37752416751009e-07
2016,22,2016-05-29,3.25357832650055e-07
2016,23,2016-06-05,3.00568664448146e-07
2016,24,2016-06-12,2.85075434321953e-07
2016,25,2016-06-19,2.38595743943373e-07
2016,26,2016-06-26,2.69582204195759e-07
2016,27,2016-07-03,2.29299805867657e-07
2016,28,2016-07-10,2.38595743943373e-07
2016,29,2016-07-17,1.58030947287169e-07
2016,30,2016-07-24,1.70425531388124e-07
2016,31,2016-07-31,1.67326885362885e-07
2016,32,2016-08-07,1.92116053564794e-07
2016,33,2016-08-14,1.51833655236692e-07
2016,34,2016-08-21,1.70425531388124e-07
2016,35,2016-08-28,1.92116053564794e-07
2016,36,2016-09-04,1.76622823438601e-07
2016,37,2016-09-11,2.57187620094805e-07
2016,38,2016-09-18,2.13806575741464e-07
2016,39,2016-09-25,2.41694389968612e-07
2016,40,2016-10-02,1.36340425110499e-07
2016,41,2016-10-09,2.97470018422907e-07
2016,42,2016-10-16,2.97470018422907e-07
2016,43,2016-10-23,3.62541584952918e-07
2016,44,2016-10-30,2.9127272637243e-07
2016,45,2016-11-06,2.20003867791942e-07
2016,46,2016-11-13,3.78034815079111e-07
2016,47,2016-11-20,2.85075434321953e-07
2016,48,2016-11-27,5.17473886214849e-07
2016,49,2016-12-04,5.32967116341042e-07
2016,50,2016-12-11,4.4620502763436e-07
2016,51,2016-12-18,3.43949708801486e-07
2016,52,2016-12-25,3.28456478675293e-07
2017,1,2017-01-01,5.9995346945492e-07
2017,2,2017-01-08,6.46103736336067e-07
2017,3,2017-01-15,4.12275717471586e-07
2017,4,2017-01-22,5.44573149197543e-07
2017,5,2017-01-29,5.26113042445083e-07
2017,6,2017-02-05,4.61502668811477e-07
2017,7,2017-02-12,5.59956571491258e-07
2017,8,2017-02-19,6.5841047417104e-07
2017,9,2017-02-26,6.39950367418581e-07
2017,10,2017-03-05,5.56879887032515e-07
2017,11,2017-03-12,3.69202135049181e-07
2017,12,2017-03-19,5.16882989068854e-07
2017,13,2017-03-26,5.9995346945492e-07
2017,14,2017-04-02,5.44573149197543e-07
2017,15,2017-04-09,4.86116144481422e-07
2017,16,2017-04-16,5.26113042445083e-07
2017,17,2017-04-23,4.76886091105193e-07
2017,18,2017-04-30,4.36889193141531e-07
2017,19,2017-05-07,4.21505770847815e-07
2017,20,2017-05-14,3.81508872884154e-07
2017,21,2017-05-21,4.12275717471586e-07
2017,22,2017-05-28,3.44588659379236e-07
2017,23,2017-06-04,4.5534929989399e-07
2017,24,2017-06-11,3.35358606003006e-07
2017,25,2017-06-18,2.67671547910657e-07
2017,26,2017-06-25,1.72294329689618e-07
2017,27,2017-07-02,1.72294329689618e-07
2017,28,2017-07-09,2.12291227653279e-07
2017,29,2017-07-16,1.90754436442077e-07
2017,30,2017-07-23,1.50757538478416e-07
2017,31,2017-07-30,1.75371014148361e-07
2017,32,2017-08-06,1.63064276313388e-07
2017,33,2017-08-13,1.75371014148361e-07
2017,34,2017-08-20,1.32297431725957e-07
2017,35,2017-08-27,1.53834222937159e-07
2017,36,2017-09-03,1.87677751983334e-07
2017,37,2017-09-10,3.07668445874318e-07
2017,38,2017-09-17,3.47665343837979e-07
2017,39,2017-09-24,2.55364810075684e-07
2017,40,2017-10-01,2.24597965488252e-07
2017,41,2017-10-08,2.95361708039345e-07
2017,42,2017-10-15,2.76901601286886e-07
2017,43,2017-10-22,2.76901601286886e-07
2017,44,2017-10-29,3.26128552626777e-07
2017,45,2017-11-05,3.93815610719127e-07
2017,46,2017-11-12,3.16898499250547e-07
2017,47,2017-11-19,3.35358606003006e-07
2017,48,2017-11-26,6.33796998501095e-07
2017,49,2017-12-03,6.61487158629783e-07
2017,50,2017-12-10,6.03030153913663e-07
2017,51,2017-12-17,4.24582455306559e-07
2017,52,2017-12-24,3.32281921544263e-07
2018,1,2017-12-31,6.53624433078733e-07
2018,2,2018-01-07,8.88807056195848e-07
2018,3,2018-01-14,6.50570113297992e-07
2018,4,2018-01-21,8.42992259484722e-07
2018,5,2018-01-28,6.50570113297992e-07
2018,6,2018-02-04,6.53624433078733e-07
2018,7,2018-02-11,7.51362666062469e-07
2018,8,2018-02-18,4.21496129742361e-07
2018,9,2018-02-25,6.35298514394283e-07
2018,10,2018-03-04,4.67310926453487e-07
2018,11,2018-03-11,5.28397322068322e-07
2018,12,2018-03-18,5.46723240752772e-07
2018,13,2018-03-25,5.46723240752772e-07
2018,14,2018-04-01,5.52831880314256e-07
2018,15,2018-04-08,6.29189874832799e-07
2018,16,2018-04-15,4.94799804480163e-07
2018,17,2018-04-22,5.0701708360313e-07
2018,18,2018-04-29,5.0701708360313e-07
2018,19,2018-05-06,5.61994839656481e-07
2018,20,2018-05-13,4.52039327549778e-07
2018,21,2018-05-20,3.29866536320108e-07
2018,22,2018-05-27,2.19911024213406e-07
2018,23,2018-06-03,3.51246774785301e-07
2018,24,2018-06-10,2.32128303336373e-07
2018,25,2018-06-17,2.41291262678598e-07
2018,26,2018-06-24,3.08486297854916e-07
2018,27,2018-07-01,1.25227111010412e-07
2018,28,2018-07-08,2.13802384651922e-07
2018,29,2018-07-15,1.95476465967472e-07
2018,30,2018-07-22,1.83259186844505e-07
2018,31,2018-07-29,2.38236942897856e-07
2018,32,2018-08-05,1.61878948379312e-07
2018,33,2018-08-12,1.61878948379312e-07
2018,34,2018-08-19,2.16856704432664e-07
2018,35,2018-08-26,1.80204867063763e-07
2018,36,2018-09-02,1.67987587940796e-07
2018,37,2018-09-09,2.1074806487118e-07
2018,38,2018-09-16,2.29073983555631e-07
2018,39,2018-09-23,2.13802384651922e-07
2018,40,2018-09-30,2.38236942897856e-07
2018,41,2018-10-07,2.32128303336373e-07
2018,42,2018-10-14,1.9242214618673e-07
2018,43,2018-10-21,3.17649257197141e-07
2018,44,2018-10-28,3.39029495662334e-07
2018,45,2018-11-04,2.6267150114379e-07
2018,46,2018-11-11,3.66518373689009e-07
